index,time,iter,reward,value,best_reward,best_value,node
167,412,167,-5.71957,524288,-5.71957,524288,X15:2-X19:32-X21:1-
168,414,168,-5.71957,524288,-5.71957,524288,X15:1-X19:16-X21:8-
169,417,169,-5.71957,524288,-5.71957,524288,X15:64-X19:16-X21:4-
170,419,170,-5.71957,524288,-5.71957,524288,X13:8-X15:2-X19:2-X21:64-
171,422,171,-5.71957,524288,-5.71957,524288,X15:1-X19:1-X21:64-
172,424,172,-5.71957,524288,-5.71957,524288,X15:32-X21:256-
173,426,173,-5.71957,524288,-5.71957,524288,X15:2-X19:256-X21:1-
174,429,174,-5.71957,524288,-5.71957,524288,X15:2-X21:256-
175,431,175,-5.71957,524288,-5.71957,524288,X13:2-X15:128-X19:2-X21:32-
176,434,176,-5.71957,524288,-5.71957,524288,X15:8-X19:2-X21:64-
177,436,177,-5.71957,524288,-5.71957,524288,X13:1-X15:128-X19:32-X21:2-
178,439,178,-5.71957,524288,-5.71957,524288,X15:16-X19:2-X21:64-
179,441,179,-5.71957,524288,-5.71957,524288,X15:32-X19:2-X21:16-
180,444,180,-5.71957,524288,-5.71957,524288,X15:16-X19:16-X21:8-
181,446,181,-5.71957,524288,-5.71957,524288,X15:4-X19:4-X21:32-
182,449,182,-5.71957,524288,-5.71957,524288,X15:16-X19:16-X21:16-
183,451,183,-5.71957,524288,-5.71957,524288,X13:2-X15:64-X19:16-X21:4-
184,454,184,-5.71957,524288,-5.71957,524288,X13:32-X15:2-X19:2-X21:64-
185,456,185,-5.71957,524288,-5.71957,524288,X:1-X15:256-X19:8-X21:8-
186,459,186,-5.71957,524288,-5.71957,524288,X13:2-X15:64-X19:64-X21:1-
187,461,187,-5.71957,524288,-5.71957,524288,X:64-X15:256-X19:8-X21:8-
188,464,188,-5.71957,524288,-5.71957,524288,X15:32-X19:1-X21:32-
189,466,189,-5.71957,524288,-5.71957,524288,X13:4-X15:32-X21:256-
190,469,190,-5.71957,524288,-5.71957,524288,X15:4-X19:2-X21:2-
191,470,191,-5.71957,524288,-5.71957,524288,X:1-X15:256-X21:256-
192,473,192,-5.71957,524288,-5.71957,524288,X15:64-X19:1-X21:64-
193,475,193,-5.71957,524288,-5.71957,524288,X15:64-X19:32-X21:1-
194,477,194,-5.71957,524288,-5.71957,524288,X13:1-X15:32-X21:256-
195,480,195,-5.71957,524288,-5.71957,524288,X13:4-X15:2-X19:16-X21:16-
196,482,196,-5.71957,524288,-5.71957,524288,X15:256-X19:4-X21:64-
197,484,197,-5.71957,524288,-5.71957,524288,X:64-X15:256-X19:4-X21:64-
198,487,198,-5.71957,524288,-5.71957,524288,X15:32-X19:8-X21:1-
199,489,199,-5.71957,524288,-5.71957,524288,X13:8-X15:8-X21:256-
200,492,200,-5.71957,524288,-5.71957,524288,X15:128-X19:4-X21:1-
