index,time,iter,reward,value,best_reward,best_value,node
140,456,140,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:50-X21:8-X24:16-
141,459,141,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:5-X21:8-X24:8-
142,463,142,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:2-X21:4-X24:4-
143,466,143,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:1-X25:10-X21:16-X24:4-
144,469,144,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:20-X21:2-X24:64-
145,473,145,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:5-X25:20-X21:4-X24:16-
146,476,146,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:10-X25:10-X21:1-X24:64-
147,479,147,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:50-X21:2-X24:2-
148,482,148,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:2-X21:1-X24:32-
149,485,149,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X23:128-X22:1-X25:10-X24:128-
150,488,150,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X23:4-X22:1-X25:10-X24:128-
151,491,151,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:100-X21:4-X24:4-
152,494,152,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:4-X25:5-X24:128-
153,497,153,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:20-X21:16-X24:1-
154,501,154,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:5-X25:20-X21:8-X24:4-
155,504,155,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:5-X21:1-X24:2-
156,507,156,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:4-X21:16-X24:2-
157,511,157,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:25-X21:16-X24:8-
158,514,158,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:2-X21:16-X24:2-
159,517,159,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:5-X25:20-X21:4-X24:32-
160,521,160,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:5-X21:4-X24:8-
161,524,161,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:2-X21:32-X24:1-
162,527,162,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:20-X21:1-X24:64-
163,531,163,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:25-X21:2-X24:8-
164,534,164,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X23:4-X25:1-X21:1-X24:4-
165,537,165,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:25-X21:2-X24:32-
166,541,166,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:2-X25:25-X21:16-X24:8-
167,544,167,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:1-X25:50-X21:4-X24:16-
168,547,168,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:2-X21:1-X24:16-
169,550,169,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:1-X25:2-X21:2-X24:64-
170,554,170,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:1-X25:25-X21:16-X24:8-
171,557,171,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:4-X21:2-X24:4-
172,560,172,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:20-X25:5-X21:1-X24:32-
173,564,173,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:4-X21:8-X24:8-
174,567,174,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:4-X21:1-X24:4-
175,570,175,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X23:1-X25:100-X24:128-
176,572,176,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:1-X25:50-X24:128-
177,576,177,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:25-X21:64-X24:1-
178,579,178,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:50-X21:2-X24:32-
179,582,179,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:1-X25:2-X21:4-X24:4-
180,585,180,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:20-X21:128-X24:1-
181,589,181,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:1-X25:20-X21:2-X24:32-
182,592,182,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:2-X21:8-X24:4-
183,596,183,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:4-X21:4-X24:1-
184,599,184,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:10-X21:16-X24:1-
